Date,Number of New Positive Cases in Last 24 Hrs,Total Number of Positive Cases to Date,Number of New Tests in Last 24 Hrs,Total Number of Tests to Date,Total Number of Active Cases Undergoing Treatment to Date,Number of New Recovered Cases in Last 24 Hrs,Total Number of Recovered Cases to Date,Number of New Deaths in Last 24 Hrs,Total Number of Deaths to Date,Total Number of Acute Cases under Hospital Treatment,Number of New Acute Hospital Admissions in Last 24 Hrs,Total Number of Cases under ICU Treatment,Number of New ICU Admissions in Last 24 Hrs,Total Number of Vaccine Doses Administered in Last 24 Hrs,Total Number of Vaccine Doses Administered Since Start of Vaccination Campaign
2/29/2020,1,1,0,0,1,0,0,0,0,,,,,,
3/1/2020,2,3,0,0,3,0,0,0,0,,,,,,
3/2/2020,4,7,0,0,7,0,0,0,0,,,,,,
3/3/2020,1,8,0,0,8,0,0,0,0,,,,,,
3/4/2020,0,8,0,0,8,0,0,0,0,,,,,,
3/5/2020,0,8,0,0,8,0,0,0,0,,,,,,
3/6/2020,3,11,0,0,11,0,0,0,0,,,,,,
3/7/2020,1,12,0,0,12,0,0,0,0,,,,,,
3/8/2020,3,15,0,0,15,0,0,0,0,,,,,,
3/9/2020,3,18,0,0,18,0,0,0,0,,,,,,
3/10/2020,6,24,0,0,24,0,0,0,0,,,,,,
3/11/2020,238,262,0,0,262,0,0,0,0,,,,,,
3/12/2020,58,320,0,5309,320,0,0,0,0,,,,,,
3/13/2020,0,320,0,5309,320,0,0,0,0,,,,,,
3/14/2020,17,337,1479,6788,337,0,0,0,0,,,,,,
3/15/2020,64,401,1162,7950,397,4,4,0,0,,,,,,
3/16/2020,38,439,425,8375,435,0,4,0,0,,,,,,
3/17/2020,3,442,172,8547,438,0,4,0,0,,,,,,
3/18/2020,10,452,326,8873,448,0,4,0,0,,,,,,
3/19/2020,8,460,587,9460,450,6,10,0,0,,,,,,
3/20/2020,10,470,456,9916,460,0,10,0,0,,,,,,
3/21/2020,11,481,442,10358,454,17,27,0,0,,,,,,
3/22/2020,13,494,499,10857,461,6,33,0,0,,,,,,
3/23/2020,7,501,497,11354,464,4,37,0,0,,,,,,
3/24/2020,25,526,177,11531,485,4,41,0,0,,,,,,
3/25/2020,11,537,727,12258,496,0,41,0,0,,,,,,
3/26/2020,12,549,1423,13681,506,2,43,0,0,,,,,,
3/27/2020,13,562,1164,14845,519,0,43,0,0,,,,,,
3/28/2020,28,590,1737,16582,544,2,45,1,1,,,,,,
3/29/2020,44,634,2295,18877,585,3,48,0,1,,,,,,
3/30/2020,59,693,1181,20058,641,3,51,0,1,,,,,,
3/31/2020,88,781,2291,22349,717,11,62,1,2,,,,,,
4/1/2020,54,835,2476,24825,762,9,71,0,2,,,,,,
4/2/2020,114,949,1435,26260,874,1,72,1,3,,,,,,
4/3/2020,126,1075,2153,28413,979,21,93,0,3,,,,,,
4/4/2020,250,1325,3538,31951,1213,16,109,0,3,,,,,,
4/5/2020,279,1604,3806,35757,1477,14,123,1,4,,,,,,
4/6/2020,228,1832,2351,38108,1697,8,131,0,4,,,,,,
4/7/2020,225,2057,3710,41818,1901,19,150,2,6,,,,,,
4/8/2020,153,2210,3710,41818,2026,28,178,0,6,,,,,,
4/9/2020,166,2376,1326,43144,2164,28,206,0,6,,,,,,
4/10/2020,136,2512,2195,45339,2279,21,227,0,6,,,,,,
4/11/2020,216,2728,2412,47751,2475,20,247,0,6,,,,,,
4/12/2020,251,2979,1351,49102,2697,28,275,1,7,,,,,,
4/13/2020,252,3231,1726,50828,2890,59,334,0,7,,,,,,
4/14/2020,197,3428,1794,52622,3048,39,373,0,7,,,,,,
4/15/2020,283,3711,1862,54484,3298,33,406,0,7,,,,,,
4/16/2020,392,4103,1897,56381,3681,9,415,0,7,,,,,,
4/17/2020,560,4663,1947,58328,4192,49,464,0,7,,,,,,
4/18/2020,345,5008,1811,60139,4490,46,510,1,8,,,,,,
4/19/2020,440,5448,2399,62538,4922,8,518,0,8,,,,,,
4/20/2020,567,6015,2082,64620,5451,37,555,1,9,,,,,,
4/21/2020,518,6533,2105,66725,5910,59,614,0,9,,,,,,
4/22/2020,608,7141,3287,70012,6442,75,689,1,10,,,,,,
4/23/2020,623,7764,3445,73457,7004,61,750,0,10,,,,,,
4/24/2020,761,8525,2431,75888,7706,59,809,0,10,,,,,,
4/25/2020,833,9358,3817,79705,8419,120,929,0,10,,,,,,
4/26/2020,929,10287,2584,82289,9265,83,1012,0,10,,,,,,
4/27/2020,957,11244,3420,85709,10168,54,1066,0,10,,,,,,
4/28/2020,677,11921,2898,88607,10777,68,1134,0,10,,,,,,
4/29/2020,643,12564,2808,91415,11311,109,1243,0,10,,,,,,
4/30/2020,845,13409,3085,94500,12027,129,1372,0,10,,,,,,
5/1/2020,687,14096,3226,97726,12648,64,1436,2,12,,,,,,
5/2/2020,776,14872,4002,101728,13326,98,1534,0,12,,,,,,
5/3/2020,679,15551,2707,104435,13875,130,1664,0,12,,,,,,
5/4/2020,640,16190,2360,106795,14369,146,1810,0,12,,,,,,
5/5/2020,951,17142,2967,109762,15206,114,1924,0,12,,,,,,
5/6/2020,830,17972,3201,112963,15890,146,2070,0,12,,,,,,
5/7/2020,918,18890,3532,116495,16592,216,2286,0,12,,,,,,
5/8/2020,1311,20201,3963,120458,17819,84,2370,0,12,,,,,,
5/9/2020,1130,21331,4096,124554,18819,129,2499,1,13,,,,,,
5/10/2020,1189,22520,3215,127769,19753,254,2753,1,14,,,,,,
5/11/2020,1103,23623,3275,131044,20769,87,2840,0,14,,,,,,
5/12/2020,1526,25149,4250,135294,22116,179,3019,0,14,,,,,,
5/13/2020,1390,26539,3833,139127,23382,124,3143,0,14,,,,,,
5/14/2020,1733,28272,4811,143938,24902,213,3356,0,14,,,,,,
5/15/2020,1153,29425,4235,148173,25865,190,3546,0,14,,,,,,
5/16/2020,1547,30972,4531,152704,27169,242,3788,1,15,1308,269,158,15,,
5/17/2020,1632,32604,4866,157570,28219,582,4370,0,15,1421,242,165,18,,
5/18/2020,1365,33969,4125,161695,29055,529,4899,0,15,1436,223,172,19,,
5/19/2020,1637,35606,4487,166182,29957,735,5634,0,15,1452,221,163,24,,
5/20/2020,1491,37097,4255,170437,30481,966,6600,1,16,1578,270,172,17,,
5/21/2020,1554,38651,5045,175482,31346,688,7288,1,17,1555,323,171,24,,
5/22/2020,1830,40481,5160,180642,32569,605,7893,2,19,1719,294,175,13,,
5/23/2020,1732,42213,4152,184794,33679,620,8513,2,21,1694,272,177,16,,
5/24/2020,1501,43714,3349,188143,34521,657,9170,2,23,1805,256,188,24,,
5/25/2020,1751,45465,4341,192484,35076,1193,10363,3,26,1895,295,202,22,,
5/26/2020,1742,47207,3927,196411,35335,1481,11844,2,28,1859,257,205,19,,
